ce worker worktree-prune: dry-run (670 candidate(s))
VERDICT      REASON             BRANCH                   PATH
REPORT_ONLY  dirty              ce45-journey-cockpit-elevation /home/cedev2/ce-cockpit-seat
REPORT_ONLY  unpushed-commits   ce-egress-broker         /home/cedev2/ce-egress-broker-seat
REPORT_ONLY  unpushed-commits   ce297-claude-code-adapter /home/cedev2/ce-harvest-562
PRUNABLE     merged             -                        /home/cedev2/ce-main-probe
REPORT_ONLY  dirty              ce28-web-control-ui-adr  /home/cedev2/ce-webui-design-seat
PRUNABLE     merged             -                        /home/cedev2/ce-worker-a
PRUNABLE     merged             -                        /home/cedev2/ce-worker-b
REPORT_ONLY  unpushed-commits   ce-auto-carrier          /home/cedev2/ce-wt/auto-carrier
REPORT_ONLY  unpushed-commits   ce-integrator-discovery-fix /home/cedev2/ce-wt/discovery-fix
REPORT_ONLY  unpushed-commits   ce-dispatch-worktree     /home/cedev2/ce-wt/dispatch-pr1
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/ce-wt/fleet-status
REPORT_ONLY  unpushed-commits   ce-integrator-daemon     /home/cedev2/ce-wt/integrator
REPORT_ONLY  unpushed-commits   ce-review-daemon         /home/cedev2/ce-wt/review
REPORT_ONLY  unpushed-commits   ce-integrator-reviews-fix /home/cedev2/ce-wt/reviews-fix
REPORT_ONLY  unpushed-commits   ce-search-api-headroom   /home/cedev2/ce-wt/search-headroom
REPORT_ONLY  unpushed-commits   ce95-seats-ls            /home/cedev2/ce-wt/seats-ls
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/ce-wt/systemd
REPORT_ONLY  dirty              ce152-website-copy       /home/cedev2/ce152-website-seat
REPORT_ONLY  unpushed-commits   ce174-stale-base-rerun   /home/cedev2/cetmp/wt-174
REPORT_ONLY  unpushed-commits   ce223-clean-install-prereqs /home/cedev2/cetmp/wt-223
REPORT_ONLY  unpushed-commits   ce227-wave-a             /home/cedev2/cetmp/wt-227a
REPORT_ONLY  unpushed-commits   ce227-wave-b             /home/cedev2/cetmp/wt-227b
REPORT_ONLY  unpushed-commits   ce227-wave-c             /home/cedev2/cetmp/wt-227c
REPORT_ONLY  unpushed-commits   ce229-live-action-scope-guard /home/cedev2/cetmp/wt-229
REPORT_ONLY  unpushed-commits   ce-appgrant-failclosed   /home/cedev2/cetmp/wt-appgrant
REPORT_ONLY  primary-worktree   ce-release-0.3.1-rc2     /home/cedev2/creator-engine
REPORT_ONLY  too-new            -                        /home/cedev2/creator-engine/.ce/wt-369-research
REPORT_ONLY  dirty              -                        /home/cedev2/creator-engine/.ce/wt-674-fix
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-678-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-679-review
REPORT_ONLY  unpushed-commits   -                        /home/cedev2/creator-engine/.ce/wt-680-review
REPORT_ONLY  too-new            wt718fix                 /home/cedev2/creator-engine/.ce/wt-718-fix
